1,2,3
uBatteryVoltage,BatteryStatus,BatteryMonitoring|EpsSicPage|ErrorHandler|MosfetTemperatureCalculation(uBatteryVol)|NetworkManagement|SupplyVoltageReduction(uSupplyVoltage)|SystemStateMachine|UDSServices
uCoreVolt,BatteryStatus,EpsSicPage
VBAT1GradValueOffsetValueNVR,NVRam,BatteryStatus
VBATGradValueOffsetValueNVR,NVRam,BatteryStatus
ErrReaI_Indicator,ErrorReaction,BatteryStatus
Event_DemEvent_BatInitVoltOutOfRange,N/A,BatteryStatus
Event_DemEvent_BatVoltVerifyErr,N/A,BatteryStatus
WdgMonI_RunnCPR,WdgMMonitor,BatteryStatus
,,
Table: OutputStage Dependency,,
Interface,Sender/Server,Receiver/Client
Current45Gain25354050_UPhaseCurrCompFactorNVW,OutputStage,NVRam
Current45Gain25354050_VPhaseCurrCompFactorNVW,OutputStage,NVRam
Current45Gain25354050_WPhaseCurrCompFactorNVW,OutputStage,NVRam
Current80Gain25354050_UPhaseCurrCompFactorNVW,OutputStage,NVRam
Current80Gain25354050_VPhaseCurrCompFactorNVW,OutputStage,NVRam
Current80Gain25354050_WPhaseCurrCompFactorNVW,OutputStage,NVRam
Gain25_UWVPhaseZeroCurrentDeviaNVW,OutputStage,NVRam
Gain35_UWVPhaseZeroCurrentDeviaNVW,OutputStage,NVRam
Gain40_UWVPhaseZeroCurrentDeviaNVW,OutputStage,NVRam
Gain50_UWVPhaseZeroCurrentDeviaNVW,OutputStage,NVRam
HighTempCurrent45Gain25354050_UPhaseCurrCompFactorNVW,OutputStage,NVRam
HighTempCurrent45Gain25354050_VPhaseCurrCompFactorNVW,OutputStage,NVRam
HighTempCurrent45Gain25354050_WPhaseCurrCompFactorNVW,OutputStage,NVRam
HighTempCurrent80Gain25354050_UPhaseCurrCompFactorNVW,OutputStage,NVRam
HighTempCurrent80Gain25354050_VPhaseCurrCompFactorNVW,OutputStage,NVRam
HighTempCurrent80Gain25354050_WPhaseCurrCompFactorNVW,OutputStage,NVRam
HighTempGain25_UWVPhaseZeroCurrentDeviaNVW,OutputStage,NVRam
HighTempGain35_UWVPhaseZeroCurrentDeviaNVW,OutputStage,NVRam
HighTempGain40_UWVPhaseZeroCurrentDeviaNVW,OutputStage,NVRam
HighTempGain50_UWVPhaseZeroCurrentDeviaNVW,OutputStage,NVRam
PreDrvSnapAmpGain,OutputStage,ErrorHandler
PreDrvSnapDiag0Reg,OutputStage,ErrorHandler
PreDrvSnapDiag1Reg,OutputStage,ErrorHandler
PreDrvSnapDiag2Reg,OutputStage,ErrorHandler
PreDrvSnapDiagFailData,OutputStage,ErrorHandler
PreDrvSnapInitFailData,OutputStage,ErrorHandler
PreDrvSnapInitFailItem,OutputStage,ErrorHandler
PreDrvSnapInitFailSubType,OutputStage,ErrorHandler
PreDrvSnapInitTime,OutputStage,ErrorHandler
PreDrvSnapInitVolt,OutputStage,ErrorHandler
PreDrvSnapMotorRpm,OutputStage,ErrorHandler
PreDrvSnapNowVolt,OutputStage,ErrorHandler
PreDrvSnapStatusReg,OutputStage,ErrorHandler
PreDrvSnapVerifyResult0Reg,OutputStage,ErrorHandler
PreDrvSnapVerifyResult1Reg,OutputStage,ErrorHandler
PreDrvSnapWorkStateOrFailReason,OutputStage,ErrorHandler
fOutputStageEnable,OutputStage,SSMErrorCheck|SystemStateMachine
iPhaseCurrentU,OutputStage,EpsSicPage|ErrorHandler|MosfetTemperatureCalculation(iMosCurrentU)
iPhaseCurrentV,OutputStage,ErrorHandler|MosfetTemperatureCalculation(iMosCurrentV)
iPhaseCurrentW,OutputStage,EpsSicPage|ErrorHandler|MosfetTemperatureCalculation(iMosCurrentW)
Current45Gain25354050_UPhaseCurrCompFactorNVR,NVRam,OutputStage
Current45Gain25354050_VPhaseCurrCompFactorNVR,NVRam,OutputStage
Current45Gain25354050_WPhaseCurrCompFactorNVR,NVRam,OutputStage
Current80Gain25354050_UPhaseCurrCompFactorNVR,NVRam,OutputStage
Current80Gain25354050_VPhaseCurrCompFactorNVR,NVRam,OutputStage
Current80Gain25354050_WPhaseCurrCompFactorNVR,NVRam,OutputStage
Gain25_UWVPhaseZeroCurrentDeviaNVR,NVRam,OutputStage
Gain35_UWVPhaseZeroCurrentDeviaNVR,NVRam,OutputStage
Gain40_UWVPhaseZeroCurrentDeviaNVR,NVRam,OutputStage
Gain50_UWVPhaseZeroCurrentDeviaNVR,NVRam,OutputStage
HighTempCurrent45Gain25354050_UPhaseCurrCompFactorNVR,NVRam,OutputStage
HighTempCurrent45Gain25354050_VPhaseCurrCompFactorNVR,NVRam,OutputStage
HighTempCurrent45Gain25354050_WPhaseCurrCompFactorNVR,NVRam,OutputStage
HighTempCurrent80Gain25354050_UPhaseCurrCompFactorNVR,NVRam,OutputStage
HighTempCurrent80Gain25354050_VPhaseCurrCompFactorNVR,NVRam,OutputStage
HighTempCurrent80Gain25354050_WPhaseCurrCompFactorNVR,NVRam,OutputStage
HighTempGain25_UWVPhaseZeroCurrentDeviaNVR,NVRam,OutputStage
HighTempGain35_UWVPhaseZeroCurrentDeviaNVR,NVRam,OutputStage
HighTempGain40_UWVPhaseZeroCurrentDeviaNVR,NVRam,OutputStage
HighTempGain50_UWVPhaseZeroCurrentDeviaNVR,NVRam,OutputStage
fMotCtrlIRQ_ASCEnabFlag,DutyCal,OutputStage
wCombAbsAngle,TAS,OutputStage
PreDrvI_SetOutputStageOff,OutputStage,SSMErrorCheck|SystemStateMachine
PreDrvI_SetOutputStageOn,OutputStage,SystemStateMachine
ErrReaI_Indicator,ErrorReaction,OutputStage
Event_DemEvent_PreDrvBootstrapUnderVoltU,N/A,OutputStage
Event_DemEvent_PreDrvBootstrapUnderVoltV,N/A,OutputStage
Event_DemEvent_PreDrvBootstrapUnderVoltW,N/A,OutputStage
Event_DemEvent_PreDrvBridgeMosUHOpen,N/A,OutputStage
Event_DemEvent_PreDrvBridgeMosUHShort,N/A,OutputStage
Event_DemEvent_PreDrvBridgeMosULOpen,N/A,OutputStage
Event_DemEvent_PreDrvBridgeMosULShort,N/A,OutputStage
Event_DemEvent_PreDrvBridgeMosVHOpen,N/A,OutputStage
Event_DemEvent_PreDrvBridgeMosVHShort,N/A,OutputStage
Event_DemEvent_PreDrvBridgeMosVLOpen,N/A,OutputStage
Event_DemEvent_PreDrvBridgeMosVLShort,N/A,OutputStage
Event_DemEvent_PreDrvBridgeMosWHOpen,N/A,OutputStage
Event_DemEvent_PreDrvBridgeMosWHShort,N/A,OutputStage
Event_DemEvent_PreDrvBridgeMosWLOpen,N/A,OutputStage
Event_DemEvent_PreDrvBridgeMosWLShort,N/A,OutputStage
Event_DemEvent_PreDrvCurrentVerifyErr,N/A,OutputStage
Event_DemEvent_PreDrvEepromErr,N/A,OutputStage
Event_DemEvent_PreDrvHighTempWarning,N/A,OutputStage
Event_DemEvent_PreDrvInitErr,N/A,OutputStage
Event_DemEvent_PreDrvIsolatorMosUOpen,N/A,OutputStage
Event_DemEvent_PreDrvIsolatorMosUShort,N/A,OutputStage
Event_DemEvent_PreDrvIsolatorMosVOpen,N/A,OutputStage
Event_DemEvent_PreDrvIsolatorMosVShort,N/A,OutputStage
Event_DemEvent_PreDrvIsolatorMosWOpen,N/A,OutputStage
Event_DemEvent_PreDrvIsolatorMosWShort,N/A,OutputStage
Event_DemEvent_PreDrvIsolatorWarn,N/A,OutputStage
Event_DemEvent_PreDrvLssDisconnect,N/A,OutputStage
Event_DemEvent_PreDrvOverCurrentU,N/A,OutputStage
Event_DemEvent_PreDrvOverCurrentV,N/A,OutputStage
Event_DemEvent_PreDrvOverCurrentW,N/A,OutputStage
Event_DemEvent_PreDrvOverTemp,N/A,OutputStage
Event_DemEvent_PreDrvPowerOnReset,N/A,OutputStage
Event_DemEvent_PreDrvSafetyVerifyErr,N/A,OutputStage
Event_DemEvent_PreDrvSenseAmpDisconnectU,N/A,OutputStage
Event_DemEvent_PreDrvSenseAmpDisconnectV,N/A,OutputStage
Event_DemEvent_PreDrvSenseAmpDisconnectW,N/A,OutputStage
Event_DemEvent_PreDrvSpiErr,N/A,OutputStage
Event_DemEvent_PreDrvTerminalOverVolt,N/A,OutputStage
Event_DemEvent_PreDrvVbbUnderVolt,N/A,OutputStage
Event_DemEvent_PreDrvVbrgDisconnect,N/A,OutputStage
Event_DemEvent_PreDrvVdsOverVoltUH,N/A,OutputStage
Event_DemEvent_PreDrvVdsOverVoltUL,N/A,OutputStage
Event_DemEvent_PreDrvVdsOverVoltVH,N/A,OutputStage
Event_DemEvent_PreDrvVdsOverVoltVL,N/A,OutputStage
Event_DemEvent_PreDrvVdsOverVoltWH,N/A,OutputStage
Event_DemEvent_PreDrvVdsOverVoltWL,N/A,OutputStage
Event_DemEvent_PreDrvVgsUnderVoltUH,N/A,OutputStage
Event_DemEvent_PreDrvVgsUnderVoltUL,N/A,OutputStage
Event_DemEvent_PreDrvVgsUnderVoltVH,N/A,OutputStage
Event_DemEvent_PreDrvVgsUnderVoltVL,N/A,OutputStage
Event_DemEvent_PreDrvVgsUnderVoltWH,N/A,OutputStage
Event_DemEvent_PreDrvVgsUnderVoltWL,N/A,OutputStage
Event_DemEvent_PreDrvVregOverVolt,N/A,OutputStage
Event_DemEvent_PreDrvVregUnderVolt,N/A,OutputStage
SSM_EventNotify,SystemStateMachine,OutputStage
WdgMonI_RunnCPR,WdgMMonitor,OutputStage
,,
Table: EngineRunning Dependency,,
Interface,Sender/Server,Receiver/Client
sEngingRunningState,EngineRunning,DriveUpDownSwitch(sEngineRunningState)|LDW|LaneKeepAssistAngleCtrlMain|RPS|SupplyVoltageReduction(sEngineRunningState)|SystemStateMachine(sEngineRunningState)|TAS
nEngineSpeed,EpsInput,EngineRunning
WdgMonI_RunnCPR,WdgMMonitor,EngineRunning
,,
Table: BatteryMonitoring Dependency,,
Interface,Sender/Server,Receiver/Client
sLowVoltageStateOem,BatteryMonitoring,EpsSicPage
uBatteryVoltage,BatteryStatus,BatteryMonitoring
Event_DemEvent_AppBattVoltHighWarning,N/A,BatteryMonitoring
Event_DemEvent_AppBattVoltLowWarning,N/A,BatteryMonitoring
WdgMonI_RunnCPR,WdgMMonitor,BatteryMonitoring
,,
Table: RotorSpeedCalculation Dependency,,
Interface,Sender/Server,Receiver/Client
aRotAcceleration,RotorSpeedCalculation,ChatterRecognition|LKAChatterRecognizition(RotAcceleration)
aRotAccelerationFilt,RotorSpeedCalculation,ActiveDamping(aRotAccFilt)|ActiveReturn|InertiaComp(aRotAcceleration)
nAbsGeneratoricRotorSpeed4Plausi,RotorSpeedCalculation,RotorSpeedCalCheckPlausi|TorqueLimitationCoordinator
nAbsRotorSpeed,RotorSpeedCalculation,SystemStateMachine(nAbsRotorSpd)
nAbsRotorSpeedFilt,RotorSpeedCalculation,MosfetTemperatureCalculation(nAbsRotorSpd)|RotorSpeedCalCheckPlausi
nRotorSpeed,RotorSpeedCalculation,DriverTorqueCalculation|RackPosition
nRotorSpeedFilt,RotorSpeedCalculation,EndStop|RotorSpeedCalCheckPlausi
vAbsRackSpeed,RotorSpeedCalculation,N/A
vAbsSteeringAngleSpeed,RotorSpeedCalculation,DMS|DriveUpDownSwitch|EpsOutput|PowerAssistance|RackPosCorr|StartStop(vAbsSteeringSpeed)|SteeringControl|SystemStateMachine|TorqueLimitationCoordinator
vRackSpeed,RotorSpeedCalculation,N/A
vSteeringAngleSpeed,RotorSpeedCalculation,APA|ActiveReturn|ChatterRecognition(nSteeringAngleSpeed)|EpsOutput|LaneKeepAssistAngleCtrlPlausi|LaneKeepAssistAngleCtrlTorque|RackPositionControl|UDSServices
mLimMotorTorque,TorqueLimitationCoordinator,RotorSpeedCalculation
nRawRotorSpeed,RPS,RotorSpeedCalculation
sRPSErrCode,RPS,RotorSpeedCalculation
xGearSign,ApplicationFunctionManage,RotorSpeedCalculation
WdgMonI_RunnCPR,WdgMMonitor,RotorSpeedCalculation
,,
Table: RPS Dependency,,
Interface,Sender/Server,Receiver/Client
SnapErrRotorSpeed,RPS,ErrorHandler
SnapErrwRelRotorPosition,RPS,ErrorHandler
SnapRpsStat,RPS,ErrorHandler
eMotoRPSOffsetNVW,RPS,NVRam
nRawRotorSpeed,RPS,EpsSicPage(nRotorSpeedSign32)|RotorSpeedCalCheckPlausi|RotorSpeedCalculation|UDSServices
nRawRotorSpeedFilt,RPS,EpsSicPage
sRPSErrCode,RPS,RackPositionPlausi|RotorSpeedCalculation|SystemStateMachine
wRPSCalibOffset,RPS,CanTerm
wRelRotorPosition,RPS,EpsSicPage|RackPosition|RackPositionPlausi|UDSServices
yRPSCalibStatus,RPS,CanTerm|SystemStateMachine
eMotoRPSOffsetNVR,NVRam,RPS
sEngingRunningState,EngineRunning,RPS
yRPSCalibFlag,CanTerm,RPS
ErrReaI_Indicator,ErrorReaction,RPS
Event_DemEvent_RPSChecADCOverflow,N/A,RPS
Event_DemEvent_RPSChecMagnetLoss,N/A,RPS
Event_DemEvent_RPSChecOverVoltage,N/A,RPS
Event_DemEvent_RPSChecREGOTPCRCFail,N/A,RPS
Event_DemEvent_RPSChecSensorFail,N/A,RPS
Event_DemEvent_RPSChecSpeedlimit,N/A,RPS
Event_DemEvent_RPSChecTransCRCFail,N/A,RPS
Event_DemEvent_RPSChecUnderVoltage,N/A,RPS
Event_DemEvent_RPSCrossCheckPlausiFail,N/A,RPS
Event_DemEvent_RPSMainADCOverflow,N/A,RPS
Event_DemEvent_RPSMainMagnetLoss,N/A,RPS
Event_DemEvent_RPSMainOverVoltage,N/A,RPS
Event_DemEvent_RPSMainREGOTPCRCFail,N/A,RPS
Event_DemEvent_RPSMainSensorFail,N/A,RPS
Event_DemEvent_RPSMainSpeedlimit,N/A,RPS
Event_DemEvent_RPSMainTransCRCFail,N/A,RPS
Event_DemEvent_RPSMainUnderVoltage,N/A,RPS
Event_DemEvent_RPSSpiGetMessgFail,N/A,RPS
Event_DemEvent_RPSZeroOffsetNoCali,N/A,RPS
NvRamI_GetBlockStatus,NVRam,RPS
NvRamI_WriteBlock,NVRam,RPS
SSM_EventNotify,SystemStateMachine,RPS
WdgMonI_RunnCPR,WdgMMonitor,RPS
,,
Table: IgnitionCalculation Dependency,,
Interface,Sender/Server,Receiver/Client
sSystemKL15State,IgnitionCalculation,DMS(sKL15State)|DriveUpDownSwitch|LaneKeepAssist(sKL15State)|NetworkManagement(sKL15State)|SigProc(sKL15State)|SystemStateMachine
sSysPowerMode,N/A,IgnitionCalculation
sSystemState,SystemStateMachine,IgnitionCalculation
IoHwAbI_GetStatOfIGN,IoHwAbifRte,IgnitionCalculation
SSM_EventNotify,SystemStateMachine,IgnitionCalculation
TRCGet,TRC,IgnitionCalculation
WdgMonI_RunnCPR,WdgMMonitor,IgnitionCalculation
,,
Table: DriveUpDownSwitch Dependency,,
Interface,Sender/Server,Receiver/Client
eSWConfigNVR,NVRam,DriveUpDownSwitch
sEngineRunningState,EngineRunning(sEngingRunningState),DriveUpDownSwitch
sSSMStatus,EpsInput,DriveUpDownSwitch
sStStpState,StartStop,DriveUpDownSwitch
sSysPowerMode,N/A,DriveUpDownSwitch
sSystemKL15State,IgnitionCalculation,DriveUpDownSwitch
sVehicleRunning,VehicleSpeedMain,DriveUpDownSwitch
vAbsSteeringAngleSpeed,RotorSpeedCalculation,DriveUpDownSwitch
SSMI_DriveDownUpSwitch_Oem,DriveUpDownSwitch,SystemStateMachine
,,
Table: SupplyVoltageReduction Dependency,,
Interface,Sender/Server,Receiver/Client
fOverCurrent,SupplyVoltageReduction,EpsOutput
fOverVoltage,SupplyVoltageReduction,N/A
fUnderVoltage,SupplyVoltageReduction,N/A
iBattCurrent,SigTfr,SupplyVoltageReduction
iMaxAllowBatteryCurrent,N/A,SupplyVoltageReduction
sEngineRunningState,EngineRunning(sEngingRunningState),SupplyVoltageReduction
sSystemState,SystemStateMachine,SupplyVoltageReduction
uSupplyVoltage,BatteryStatus(uBatteryVoltage),SupplyVoltageReduction
Event_DemEvent_AppOverVoltCut,N/A,SupplyVoltageReduction
Event_DemEvent_AppOverVoltRed,N/A,SupplyVoltageReduction
Event_DemEvent_AppUnderVoltCut,N/A,SupplyVoltageReduction
Event_DemEvent_AppUnderVoltRed,N/A,SupplyVoltageReduction
Event_DemEvent_App_OverCurrent,N/A,SupplyVoltageReduction
SSM_EventClear,SystemStateMachine,SupplyVoltageReduction
SSM_EventNotify,SystemStateMachine,SupplyVoltageReduction
TLC_SetMotChar,TorqueLimitationCoServer,SupplyVoltageReduction
TLC_SetMotCharAxis,TorqueLimitationCoServer,SupplyVoltageReduction
TRCGet,TRC,SupplyVoltageReduction
TRCSet,TRC,SupplyVoltageReduction
TRCSetGrad,TRC,SupplyVoltageReduction
TRCSetMotChar,TRC,SupplyVoltageReduction
WdgMonI_RunnCPR,WdgMMonitor,SupplyVoltageReduction
,,
Table: StateMachineCallbacksOem Dependency,,
Interface,Sender/Server,Receiver/Client
,,
,,
Table: StartStop Dependency,,
Interface,Sender/Server,Receiver/Client
sStStpState,StartStop,DriveUpDownSwitch
mAbsTorsionBarTorque,TAS,StartStop
nEngineSpeed,EpsInput,StartStop
sSSMStatus,EpsInput,StartStop
sSystemState,SystemStateMachine,StartStop
vAbsAvgVehicleSpeed,VehicleSpeedMain,StartStop
vAbsSteeringSpeed,RotorSpeedCalculation(vAbsSteeringAngleSpeed),StartStop
AppFunctionState,ApplicationFunctionManage,StartStop
SSM_EventClear,SystemStateMachine,StartStop
SSM_EventNotify,SystemStateMachine,StartStop
TRCGet,TRC,StartStop
TRCSet,TRC,StartStop
WdgMonI_RunnCPR,WdgMMonitor,StartStop
,,
Table: EpsInput Dependency,,
Interface,Sender/Server,Receiver/Client
aLateralAcceleration,EpsInput,DTSCMain
aLongitudeAccerleration,EpsInput,DTSCMain(aLongitudeAcceleration)
fECOModeSWSts,EpsInput,DMS
fEPSInput2CanTerm,EpsInput,CanTerm
fFCM_3_StrngWhlAgReqA,EpsInput,LaneKeepAssistAngleCtrlMain
mLkaTorqueReq,EpsInput,LaneKeepAssist
mSACMotorTorLimExtMax,EpsInput,LaneKeepAssistAngleCtrlMain|LaneKeepAssistAngleTorqConvert
mSACMotorTorLimExtMin,EpsInput,LaneKeepAssistAngleCtrlMain|LaneKeepAssistAngleTorqConvert
nEngineSpeed,EpsInput,EngineRunning|StartStop|UDSServices
sABSActive,EpsInput,LaneKeepAssist
sABSFailed,EpsInput,LaneKeepAssist
sApxFailureStatus,EpsInput,APA
sApxState,EpsInput,APA
sAssistPraSwitchReq,EpsInput,LaneKeepAssistAngleCtrlMain
sDVDAssistanceStyle,EpsInput,DMS(sAssistanceStyleReq)
sDVDAssociWithDriverMode,EpsInput,DMS(sAssociWithDriverModeReq)
sDrivermodeReq,EpsInput,DMS
sLKAReqToqV,EpsInput,LaneKeepAssist
sLKAStrAngleReqVld,EpsInput,LaneKeepAssistAngleCtrlMain
sLdwVibrationRequest,EpsInput,LDW
sLkaFailSts,EpsInput,LaneKeepAssist
sLkaL2FunReqSt,EpsInput,LaneKeepAssistAngleCtrlMain
sLkaL2ModeReqSt,EpsInput,LaneKeepAssistAngleCtrlMain
sLkaRequestTorqueStatus,EpsInput,LaneKeepAssist|LaneKeepAssistPlausi
sSSMStatus,EpsInput,DriveUpDownSwitch|StartStop
sVSEState,EpsInput,LaneKeepAssist
vRawVehicleSpeed,EpsInput,VehicleSpeedMain|VehicleSpeedPlausi
vWheelSpeedFL,EpsInput,ShimmyTrqCal|VehicleSpeedMain|VehicleSpeedPlausi
vWheelSpeedFR,EpsInput,ShimmyTrqCal|VehicleSpeedMain|VehicleSpeedPlausi
vWheelSpeedRL,EpsInput,VehicleSpeedMain|VehicleSpeedPlausi
vWheelSpeedRR,EpsInput,VehicleSpeedMain|VehicleSpeedPlausi
wApxDesireAngle,EpsInput,APA
wStrAngleReq,EpsInput,LaneKeepAssistAngleCtrlMain|LaneKeepAssistAngleCtrlTorque
yDMSModeSetReqFailSts,EpsInput,DMS
yFactoryEPSInputState,EpsInput,CanTerm
zOdometerValue,EpsInput,ErrorHandler|UDSServices
Com_ABS_ESP_1_ABSActive,N/A,EpsInput
Com_ABS_ESP_1_ABSFailSts,N/A,EpsInput
Com_ABS_ESP_1_Checksum,N/A,EpsInput
Com_ABS_ESP_1_MessageCounter,N/A,EpsInput
Com_ABS_ESP_1_TCSActive,N/A,EpsInput
Com_ABS_ESP_1_TCSFailSts,N/A,EpsInput
Com_ABS_ESP_1_VDCActive,N/A,EpsInput
Com_ABS_ESP_1_VDCFailSts,N/A,EpsInput
Com_ABS_ESP_1_VehicleSpeedVSOSig,N/A,EpsInput
Com_APA_EPS_Control_Request,N/A,EpsInput
Com_APA_SteeringWheelAngleReq,N/A,EpsInput
Com_AVM_APA_1_AliveCounter,N/A,EpsInput
Com_AVM_APA_1_CRC,N/A,EpsInput
Com_AVM_APA_SystemSts,N/A,EpsInput
Com_AcceleratorPosRaw,N/A,EpsInput
Com_DVD_SET_EPS_Assistance_Style,N/A,EpsInput
Com_DVD_SET_EPS_AssociWithDriverMode,N/A,EpsInput
Com_EMS_1_Checksum,N/A,EpsInput
Com_EMS_1_MessageCounter,N/A,EpsInput
Com_ESP1_VehicleSpeedVSOSigValidData,N/A,EpsInput
Com_EngineSpeed,N/A,EpsInput
Com_FCM_3_CRC,N/A,EpsInput
Com_FCM_3_HptcVibPttrnReq,N/A,EpsInput
Com_FCM_3_HptcVibReq,N/A,EpsInput
Com_FCM_3_MsgCntr,N/A,EpsInput
Com_FCM_3_StrngWhlAgReq,N/A,EpsInput
Com_FCM_3_StrngWhlAgReqActive,N/A,EpsInput
Com_GasPedalPosition,N/A,EpsInput
Com_GasPedalPositionInvalidData,N/A,EpsInput
Com_ICM_1_HandBrakeSystemSts,N/A,EpsInput
Com_IHU_DriveMode,N/A,EpsInput
Com_LHFPulseCounter,N/A,EpsInput
Com_LHFPulseCounterFailSts,N/A,EpsInput
Com_LHFWheelSpeed,N/A,EpsInput
Com_LHFWheelSpeedValidData,N/A,EpsInput
Com_LHRPulseCounter,N/A,EpsInput
Com_LHRPulseCounterFailSts,N/A,EpsInput
Com_LHRWheelSpeed,N/A,EpsInput
Com_LHRWheelSpeedValidData,N/A,EpsInput
Com_LateralAcceleration,N/A,EpsInput
Com_LateralAccelerationSigValidData,N/A,EpsInput
Com_LongitudinalAcceleration,N/A,EpsInput
Com_LongitudinalAccelerationSigValid,N/A,EpsInput
Com_RHFPulseCounter,N/A,EpsInput
Com_RHFPulseCounterFailSts,N/A,EpsInput
Com_RHFWheelSpeed,N/A,EpsInput
Com_RHFWheelSpeedValidData,N/A,EpsInput
Com_RHRPulseCounter,N/A,EpsInput
Com_RHRPulseCounterFailSts,N/A,EpsInput
Com_RHRWheelSpeed,N/A,EpsInput
Com_RHRWheelSpeedValidData,N/A,EpsInput
Com_SSMStatus,N/A,EpsInput
